2023-11-13T00:40:52.451-03:00  INFO 17044 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] o.s.a.r.l.SimpleMessageListenerContainer : Waiting for workers to finish.
2023-11-13T00:40:52.455-03:00  INFO 17044 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-2] o.s.a.r.l.SimpleMessageListenerContainer : Waiting for workers to finish.
2023-11-13T00:40:52.500-03:00  INFO 17044 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-2] o.s.a.r.l.SimpleMessageListenerContainer : Waiting for workers to finish.
2023-11-13T00:40:53.141-03:00  INFO 17044 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-2] o.s.a.r.l.SimpleMessageListenerContainer : Successfully waited for workers to finish.
2023-11-13T00:40:53.141-03:00  INFO 17044 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-2] o.s.a.r.l.SimpleMessageListenerContainer : Successfully waited for workers to finish.
2023-11-13T00:40:53.367-03:00  INFO 17044 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] o.s.a.r.l.SimpleMessageListenerContainer : Successfully waited for workers to finish.
2023-11-13T00:40:53.487-03:00  INFO 17044 --- [SpringApplicationShutdownHook] j.LocalContainerEntityManagerFactoryBean : Closing JPA EntityManagerFactory for persistence unit 'default'
2023-11-13T00:41:03.155-03:00  INFO 3312 --- [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1540 ms
2023-11-13T00:41:03.360-03:00  INFO 3312 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2023-11-13T00:41:03.776-03:00  INFO 3312 --- [main] com.zaxxer.hikari.pool.PoolBase          : HikariPool-1 - Driver does not support get/set network timeout for connections. (feature not supported)
2023-11-13T00:41:03.777-03:00  INFO 3312 --- [main] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Added connection org.hsqldb.jdbc.JDBCConnection@45292ec1
2023-11-13T00:41:03.779-03:00  INFO 3312 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2023-11-13T00:41:03.839-03:00  INFO 3312 --- [main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2023-11-13T00:41:03.918-03:00  INFO 3312 --- [main] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 6.2.13.Final
2023-11-13T00:41:03.920-03:00  INFO 3312 --- [main] org.hibernate.cfg.Environment            : HHH000406: Using bytecode reflection optimizer
2023-11-13T00:41:04.391-03:00  INFO 3312 --- [main] o.s.o.j.p.SpringPersistenceUnitInfo      : No LoadTimeWeaver setup: ignoring JPA class transformer
2023-11-13T00:41:04.883-03:00  INFO 3312 --- [main] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2023-11-13T00:41:04.889-03:00  INFO 3312 --- [main] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2023-11-13T00:41:05.257-03:00  WARN 3312 --- [main] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2023-11-13T00:41:05.638-03:00  WARN 3312 --- [main] .s.s.UserDetailsServiceAutoConfiguration : 

Using generated security password: cdde767f-c6f4-48a1-910f-dc0355f18ea9

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2023-11-13T00:41:05.781-03:00  INFO 3312 --- [main] o.s.s.web.DefaultSecurityFilterChain     : Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@580154b3, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@79fc4e99, org.springframework.security.web.context.SecurityContextHolderFilter@2078bf0a, org.springframework.security.web.header.HeaderWriterFilter@641bc9a8, org.springframework.security.web.csrf.CsrfFilter@796642ae, org.springframework.security.web.authentication.logout.LogoutFilter@40277077, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@2a60981c, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@f6cde7e, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@6e7fa4b0, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@3e73f5e7, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@62d6ac, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5a96f3cb, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@6c7f804c, org.springframework.security.web.access.ExceptionTranslationFilter@7b58d678, org.springframework.security.web.access.intercept.AuthorizationFilter@4c114687]
2023-11-13T00:41:05.872-03:00  WARN 3312 --- [main] ocalVariableTableParameterNameDiscoverer : Using deprecated '-debug' fallback for parameter name resolution. Compile the affected code with '-parameters' instead or avoid its introspection: org.springframework.amqp.rabbit.core.RabbitAdmin
2023-11-13T00:41:05.946-03:00  INFO 3312 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8080 (http) with context path ''
2023-11-13T00:41:05.949-03:00  INFO 3312 --- [main] o.s.a.r.c.CachingConnectionFactory       : Attempting to connect to: [srv-ceesp.proj.ufsm.br:8082]
2023-11-13T00:41:06.246-03:00  INFO 3312 --- [main] o.s.a.r.c.CachingConnectionFactory       : Created new connection: rabbitConnectionFactory#ad5cffa:0/SimpleConnection@4d3990a5 [delegate=amqp://guest@200.18.45.228:8082/, localPort=65501]
2023-11-13T00:41:06.573-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-1] b.u.c.t.p.service.DificuldadeService     : A dificuldade foi atualizada: Dificuldade(dificuldade=110427941548649020598956093796432407239217743554726184882600387580788735, inicio=Sun Nov 12 11:15:48 BRT 2023, validadeFinal=Mon Nov 13 11:15:48 BRT 2023)
2023-11-13T00:41:06.771-03:00  INFO 3312 --- [main] b.u.c.tapw.pilacoin.PilacoinApplication  : Started PilacoinApplication in 5.948 seconds (process running for 7.067)
2023-11-13T00:42:16.175-03:00  INFO 3312 --- [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-13T00:42:16.176-03:00  INFO 3312 --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2023-11-13T00:42:16.177-03:00  INFO 3312 --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 1 ms
2023-11-13T00:42:19.442-03:00  INFO 3312 --- [ForkJoinPool.commonPool-worker-1] b.u.c.t.p.util.RSAKeyPairGenerator       : Tentando carregar par de chaves de: RSA-par-chaves\chavePublica.pem
2023-11-13T00:42:19.443-03:00  INFO 3312 --- [ForkJoinPool.commonPool-worker-1] b.u.c.t.p.util.RSAKeyPairGenerator       : Tentando carregar par de chaves de: RSA-par-chaves\chavePrivada.pem
2023-11-13T00:42:44.787-03:00  INFO 3312 --- [ForkJoinPool.commonPool-worker-1] b.u.c.t.p.s.MinerarPilacoinService       : Pilacoin minerado: {"chaveCriador":"MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0EQ1QhBa78jwprN9AmGwczF/7U5GVUCUWIgpOoH4j1txxr4tS6O0ar891Fljh+NiQ7sCErhnwtU5iuN9uLfqrZOx41QRq/CH+qE17aj4jPh5e85CkLRJqWivayZEVRAVD8+1llnuYcSq/PcExJjo/itKMJ51isAeamUwdkUoQl9mDi3rTth/3jIwFtrJQkn06iXMTxFxT4UbUKY2CEtryqMFZVV7GF2hC/jeD2Td8Yg9vh8lBN1sPLBWH/4PthXip0a9NDEXuoLdIU+yzOAzQ0JEcaFvZroTSdjCsxct7bz9DwKGgnS275VWJ/Mm4Zi14//duU9/zS1wEg+toWqXGwIDAQAB","dataCriacao":"2023-11-13T03:42:44.787+00:00","nomeCriador":"Augusto","nonce":"27051633687124850128478368850002985249530272669474171115444299652800376825878"}
2023-11-13T00:42:44.832-03:00  INFO 3312 --- [ForkJoinPool.commonPool-worker-1] b.u.c.t.p.s.MinerarPilacoinService       : Pilacoin minerado com sucesso. Enviado para a fila 'pila-minerado'.
2023-11-13T00:42:44.872-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-1] b.u.c.t.p.listener.UsuarioListener       : Recebido da fila 'augusto': {"erro":"Não validado porque o valor do hash não é menor que a dificuldade.","nomeUsuario":"Augusto","nonce":"27051633687124850128478368850002985249530272669474171115444299652800376825878","queue":"pila-minerado"}
2023-11-13T00:43:59.211-03:00  INFO 3312 --- [ForkJoinPool.commonPool-worker-2] b.u.c.t.p.util.RSAKeyPairGenerator       : Tentando carregar par de chaves de: RSA-par-chaves\chavePublica.pem
2023-11-13T00:43:59.212-03:00  INFO 3312 --- [ForkJoinPool.commonPool-worker-2] b.u.c.t.p.util.RSAKeyPairGenerator       : Tentando carregar par de chaves de: RSA-par-chaves\chavePrivada.pem
2023-11-13T00:44:05.551-03:00  INFO 3312 --- [ForkJoinPool.commonPool-worker-2] b.u.c.t.p.s.MinerarPilacoinService       : Pilacoin minerado: {"chaveCriador":"MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0EQ1QhBa78jwprN9AmGwczF/7U5GVUCUWIgpOoH4j1txxr4tS6O0ar891Fljh+NiQ7sCErhnwtU5iuN9uLfqrZOx41QRq/CH+qE17aj4jPh5e85CkLRJqWivayZEVRAVD8+1llnuYcSq/PcExJjo/itKMJ51isAeamUwdkUoQl9mDi3rTth/3jIwFtrJQkn06iXMTxFxT4UbUKY2CEtryqMFZVV7GF2hC/jeD2Td8Yg9vh8lBN1sPLBWH/4PthXip0a9NDEXuoLdIU+yzOAzQ0JEcaFvZroTSdjCsxct7bz9DwKGgnS275VWJ/Mm4Zi14//duU9/zS1wEg+toWqXGwIDAQAB","dataCriacao":"2023-11-13T03:44:05.551+00:00","nomeCriador":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479"}
2023-11-13T00:44:05.552-03:00  INFO 3312 --- [ForkJoinPool.commonPool-worker-2] b.u.c.t.p.s.MinerarPilacoinService       : Pilacoin minerado com sucesso. Enviado para a fila 'pila-minerado'.
2023-11-13T00:44:05.600-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] b.u.c.t.p.l.PilacoinMineradoListener     : PilaCoin processado: {"chaveCriador":"MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0EQ1QhBa78jwprN9AmGwczF/7U5GVUCUWIgpOoH4j1txxr4tS6O0ar891Fljh+NiQ7sCErhnwtU5iuN9uLfqrZOx41QRq/CH+qE17aj4jPh5e85CkLRJqWivayZEVRAVD8+1llnuYcSq/PcExJjo/itKMJ51isAeamUwdkUoQl9mDi3rTth/3jIwFtrJQkn06iXMTxFxT4UbUKY2CEtryqMFZVV7GF2hC/jeD2Td8Yg9vh8lBN1sPLBWH/4PthXip0a9NDEXuoLdIU+yzOAzQ0JEcaFvZroTSdjCsxct7bz9DwKGgnS275VWJ/Mm4Zi14//duU9/zS1wEg+toWqXGwIDAQAB","dataCriacao":"2023-11-13T03:44:05.551+00:00","nomeCriador":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479"}
2023-11-13T00:44:05.636-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] b.u.c.t.p.l.PilacoinMineradoListener     : PilaCoin processado: {"chaveCriador":"MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0EQ1QhBa78jwprN9AmGwczF/7U5GVUCUWIgpOoH4j1txxr4tS6O0ar891Fljh+NiQ7sCErhnwtU5iuN9uLfqrZOx41QRq/CH+qE17aj4jPh5e85CkLRJqWivayZEVRAVD8+1llnuYcSq/PcExJjo/itKMJ51isAeamUwdkUoQl9mDi3rTth/3jIwFtrJQkn06iXMTxFxT4UbUKY2CEtryqMFZVV7GF2hC/jeD2Td8Yg9vh8lBN1sPLBWH/4PthXip0a9NDEXuoLdIU+yzOAzQ0JEcaFvZroTSdjCsxct7bz9DwKGgnS275VWJ/Mm4Zi14//duU9/zS1wEg+toWqXGwIDAQAB","dataCriacao":"2023-11-13T03:44:05.551+00:00","nomeCriador":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479"}
2023-11-13T00:44:05.638-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-1] b.u.c.t.p.listener.UsuarioListener       : Recebido da fila 'augusto': {"erro":"Não validado porque o valor do hash não é menor que a dificuldade.","nomeUsuario":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479","queue":"pila-minerado"}
2023-11-13T00:44:05.672-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] b.u.c.t.p.l.PilacoinMineradoListener     : PilaCoin processado: {"chaveCriador":"MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0EQ1QhBa78jwprN9AmGwczF/7U5GVUCUWIgpOoH4j1txxr4tS6O0ar891Fljh+NiQ7sCErhnwtU5iuN9uLfqrZOx41QRq/CH+qE17aj4jPh5e85CkLRJqWivayZEVRAVD8+1llnuYcSq/PcExJjo/itKMJ51isAeamUwdkUoQl9mDi3rTth/3jIwFtrJQkn06iXMTxFxT4UbUKY2CEtryqMFZVV7GF2hC/jeD2Td8Yg9vh8lBN1sPLBWH/4PthXip0a9NDEXuoLdIU+yzOAzQ0JEcaFvZroTSdjCsxct7bz9DwKGgnS275VWJ/Mm4Zi14//duU9/zS1wEg+toWqXGwIDAQAB","dataCriacao":"2023-11-13T03:44:05.551+00:00","nomeCriador":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479"}
2023-11-13T00:44:05.674-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-1] b.u.c.t.p.listener.UsuarioListener       : Recebido da fila 'augusto': {"erro":"Não validado porque o valor do hash não é menor que a dificuldade.","nomeUsuario":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479","queue":"pila-minerado"}
2023-11-13T00:44:05.707-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] b.u.c.t.p.l.PilacoinMineradoListener     : PilaCoin processado: {"chaveCriador":"MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0EQ1QhBa78jwprN9AmGwczF/7U5GVUCUWIgpOoH4j1txxr4tS6O0ar891Fljh+NiQ7sCErhnwtU5iuN9uLfqrZOx41QRq/CH+qE17aj4jPh5e85CkLRJqWivayZEVRAVD8+1llnuYcSq/PcExJjo/itKMJ51isAeamUwdkUoQl9mDi3rTth/3jIwFtrJQkn06iXMTxFxT4UbUKY2CEtryqMFZVV7GF2hC/jeD2Td8Yg9vh8lBN1sPLBWH/4PthXip0a9NDEXuoLdIU+yzOAzQ0JEcaFvZroTSdjCsxct7bz9DwKGgnS275VWJ/Mm4Zi14//duU9/zS1wEg+toWqXGwIDAQAB","dataCriacao":"2023-11-13T03:44:05.551+00:00","nomeCriador":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479"}
2023-11-13T00:44:05.709-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-1] b.u.c.t.p.listener.UsuarioListener       : Recebido da fila 'augusto': {"erro":"Não validado porque o valor do hash não é menor que a dificuldade.","nomeUsuario":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479","queue":"pila-minerado"}
2023-11-13T00:44:05.743-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] b.u.c.t.p.l.PilacoinMineradoListener     : PilaCoin processado: {"chaveCriador":"MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0EQ1QhBa78jwprN9AmGwczF/7U5GVUCUWIgpOoH4j1txxr4tS6O0ar891Fljh+NiQ7sCErhnwtU5iuN9uLfqrZOx41QRq/CH+qE17aj4jPh5e85CkLRJqWivayZEVRAVD8+1llnuYcSq/PcExJjo/itKMJ51isAeamUwdkUoQl9mDi3rTth/3jIwFtrJQkn06iXMTxFxT4UbUKY2CEtryqMFZVV7GF2hC/jeD2Td8Yg9vh8lBN1sPLBWH/4PthXip0a9NDEXuoLdIU+yzOAzQ0JEcaFvZroTSdjCsxct7bz9DwKGgnS275VWJ/Mm4Zi14//duU9/zS1wEg+toWqXGwIDAQAB","dataCriacao":"2023-11-13T03:44:05.551+00:00","nomeCriador":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479"}
2023-11-13T00:44:05.744-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-1] b.u.c.t.p.listener.UsuarioListener       : Recebido da fila 'augusto': {"erro":"Não validado porque o valor do hash não é menor que a dificuldade.","nomeUsuario":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479","queue":"pila-minerado"}
2023-11-13T00:44:05.780-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] b.u.c.t.p.l.PilacoinMineradoListener     : PilaCoin processado: {"chaveCriador":"MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0EQ1QhBa78jwprN9AmGwczF/7U5GVUCUWIgpOoH4j1txxr4tS6O0ar891Fljh+NiQ7sCErhnwtU5iuN9uLfqrZOx41QRq/CH+qE17aj4jPh5e85CkLRJqWivayZEVRAVD8+1llnuYcSq/PcExJjo/itKMJ51isAeamUwdkUoQl9mDi3rTth/3jIwFtrJQkn06iXMTxFxT4UbUKY2CEtryqMFZVV7GF2hC/jeD2Td8Yg9vh8lBN1sPLBWH/4PthXip0a9NDEXuoLdIU+yzOAzQ0JEcaFvZroTSdjCsxct7bz9DwKGgnS275VWJ/Mm4Zi14//duU9/zS1wEg+toWqXGwIDAQAB","dataCriacao":"2023-11-13T03:44:05.551+00:00","nomeCriador":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479"}
2023-11-13T00:44:05.782-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-1] b.u.c.t.p.listener.UsuarioListener       : Recebido da fila 'augusto': {"erro":"Não validado porque o valor do hash não é menor que a dificuldade.","nomeUsuario":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479","queue":"pila-minerado"}
2023-11-13T00:44:05.817-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-1] b.u.c.t.p.listener.UsuarioListener       : Recebido da fila 'augusto': {"erro":"Não validado porque o valor do hash não é menor que a dificuldade.","nomeUsuario":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479","queue":"pila-minerado"}
2023-11-13T00:44:05.817-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] b.u.c.t.p.l.PilacoinMineradoListener     : PilaCoin processado: {"chaveCriador":"MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0EQ1QhBa78jwprN9AmGwczF/7U5GVUCUWIgpOoH4j1txxr4tS6O0ar891Fljh+NiQ7sCErhnwtU5iuN9uLfqrZOx41QRq/CH+qE17aj4jPh5e85CkLRJqWivayZEVRAVD8+1llnuYcSq/PcExJjo/itKMJ51isAeamUwdkUoQl9mDi3rTth/3jIwFtrJQkn06iXMTxFxT4UbUKY2CEtryqMFZVV7GF2hC/jeD2Td8Yg9vh8lBN1sPLBWH/4PthXip0a9NDEXuoLdIU+yzOAzQ0JEcaFvZroTSdjCsxct7bz9DwKGgnS275VWJ/Mm4Zi14//duU9/zS1wEg+toWqXGwIDAQAB","dataCriacao":"2023-11-13T03:44:05.551+00:00","nomeCriador":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479"}
2023-11-13T00:44:05.852-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] b.u.c.t.p.l.PilacoinMineradoListener     : PilaCoin processado: {"chaveCriador":"MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0EQ1QhBa78jwprN9AmGwczF/7U5GVUCUWIgpOoH4j1txxr4tS6O0ar891Fljh+NiQ7sCErhnwtU5iuN9uLfqrZOx41QRq/CH+qE17aj4jPh5e85CkLRJqWivayZEVRAVD8+1llnuYcSq/PcExJjo/itKMJ51isAeamUwdkUoQl9mDi3rTth/3jIwFtrJQkn06iXMTxFxT4UbUKY2CEtryqMFZVV7GF2hC/jeD2Td8Yg9vh8lBN1sPLBWH/4PthXip0a9NDEXuoLdIU+yzOAzQ0JEcaFvZroTSdjCsxct7bz9DwKGgnS275VWJ/Mm4Zi14//duU9/zS1wEg+toWqXGwIDAQAB","dataCriacao":"2023-11-13T03:44:05.551+00:00","nomeCriador":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479"}
2023-11-13T00:44:05.854-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-1] b.u.c.t.p.listener.UsuarioListener       : Recebido da fila 'augusto': {"erro":"Não validado porque o valor do hash não é menor que a dificuldade.","nomeUsuario":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479","queue":"pila-minerado"}
2023-11-13T00:44:05.888-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] b.u.c.t.p.l.PilacoinMineradoListener     : PilaCoin processado: {"chaveCriador":"MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0EQ1QhBa78jwprN9AmGwczF/7U5GVUCUWIgpOoH4j1txxr4tS6O0ar891Fljh+NiQ7sCErhnwtU5iuN9uLfqrZOx41QRq/CH+qE17aj4jPh5e85CkLRJqWivayZEVRAVD8+1llnuYcSq/PcExJjo/itKMJ51isAeamUwdkUoQl9mDi3rTth/3jIwFtrJQkn06iXMTxFxT4UbUKY2CEtryqMFZVV7GF2hC/jeD2Td8Yg9vh8lBN1sPLBWH/4PthXip0a9NDEXuoLdIU+yzOAzQ0JEcaFvZroTSdjCsxct7bz9DwKGgnS275VWJ/Mm4Zi14//duU9/zS1wEg+toWqXGwIDAQAB","dataCriacao":"2023-11-13T03:44:05.551+00:00","nomeCriador":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479"}
2023-11-13T00:44:05.890-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-1] b.u.c.t.p.listener.UsuarioListener       : Recebido da fila 'augusto': {"erro":"Não validado porque o valor do hash não é menor que a dificuldade.","nomeUsuario":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479","queue":"pila-minerado"}
2023-11-13T00:44:05.925-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-1] b.u.c.t.p.l.PilacoinMineradoListener     : PilaCoin processado: {"chaveCriador":"MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA0EQ1QhBa78jwprN9AmGwczF/7U5GVUCUWIgpOoH4j1txxr4tS6O0ar891Fljh+NiQ7sCErhnwtU5iuN9uLfqrZOx41QRq/CH+qE17aj4jPh5e85CkLRJqWivayZEVRAVD8+1llnuYcSq/PcExJjo/itKMJ51isAeamUwdkUoQl9mDi3rTth/3jIwFtrJQkn06iXMTxFxT4UbUKY2CEtryqMFZVV7GF2hC/jeD2Td8Yg9vh8lBN1sPLBWH/4PthXip0a9NDEXuoLdIU+yzOAzQ0JEcaFvZroTSdjCsxct7bz9DwKGgnS275VWJ/Mm4Zi14//duU9/zS1wEg+toWqXGwIDAQAB","dataCriacao":"2023-11-13T03:44:05.551+00:00","nomeCriador":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479"}
2023-11-13T00:44:05.927-03:00  INFO 3312 --- [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-1] b.u.c.t.p.listener.UsuarioListener       : Recebido da fila 'augusto': {"erro":"Não validado porque o valor do hash não é menor que a dificuldade.","nomeUsuario":"Augusto","nonce":"97220335161270476188446253606969915961212403337506354629250576028421195116479","queue":"pila-minerado"}
